"ensemble" "extent_space" "extent_time" "channel" "irrep" "total_momentum_d_sq" "irrep_col" "irrep_row" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "pion_total_momentum_d_sq" "pion_tmin" "pion_tmax" "gevp_sort_type" "gevp_mask" "correlator_id" "fit_method_count" "cm_mass_val" "cm_mass_err" "pion_mass_val" "pion_mass_err" "cm_mass_over_pion_mass_val" "cm_mass_over_pion_mass_err"
"cA2.09.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 4 0.163111105219851 0.000967028650819265 0.0620521770085929 4.3175699640508e-05 2.62861213067937 0.0152649233318173
"cA2.09.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 4 0.32141271873243 0.00290801098222869 0.0620521770085929 4.3175699640508e-05 5.17971704180373 0.0466929902996428
"cA2.09.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 3 1 0.410693302629592 0.00872556320274597 0.0620521770085929 4.3175699640508e-05 6.61851561747334 0.14045530519328
"cA2.09.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 5 0.182880121240967 0.0013688166433995 0.0620521770085929 4.3175699640508e-05 2.94719911624763 0.021996879616966
"cA2.09.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 5 0.228063608880131 0.00184063349596615 0.0620521770085929 4.3175699640508e-05 3.67535225796428 0.0296452684992166
"cA2.09.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 3 4 0.339950124507532 0.00354765040391454 0.0620521770085929 4.3175699640508e-05 5.47845604934144 0.0571212068270602
"cA2.09.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 4 4 0.359574837684943 0.00323401073107363 0.0620521770085929 4.3175699640508e-05 5.79471752675413 0.0522899714011041
"cA2.09.48" 48 96 "2pi_I2" "A1" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 5 0.194615595311083 0.00398953535661929 0.0620521770085929 4.3175699640508e-05 3.13632179712458 0.0642177252506625
"cA2.09.48" 48 96 "2pi_I2" "A1" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 5 0.266492536055926 0.00483327202914564 0.0620521770085929 4.3175699640508e-05 4.29465248284556 0.0778539455502924
"cA2.09.48" 48 96 "2pi_I2" "A1" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 3 0.127673538661123 0.00441623185466996 0.0620521770085929 4.3175699640508e-05 2.05751908822543 0.0711517975686254
"cA2.09.48" 48 96 "2pi_I2" "A1" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 4 0.218797620257011 0.00430272910244092 0.0620521770085929 4.3175699640508e-05 3.52602649584256 0.0691027562944918
"cA2.09.48" 48 96 "2pi_I2" "A1" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 3 5 0.297224170055441 0.00523043178054011 0.0620521770085929 4.3175699640508e-05 4.78990721009323 0.0840063064035378
"cA2.09.48" 48 96 "2pi_I2" "A1g" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 4 0.12585400111039 0.000432483218708907 0.0620521770085929 4.3175699640508e-05 2.02819638532523 0.00681548156445143
"cA2.09.48" 48 96 "2pi_I2" "A1g" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 4 0.301063235674794 0.00172825253373779 0.0620521770085929 4.3175699640508e-05 4.85177555709453 0.027741652862237
"cA2.09.48" 48 96 "2pi_I2" "B1" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 5 0.301638360848547 0.00470663050197575 0.0620521770085929 4.3175699640508e-05 4.86104396960604 0.0758201141138133
"cA2.09.48" 48 96 "2pi_I2" "E" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 1 0.248195856068968 0.00454122248815375 0.0620521770085929 4.3175699640508e-05 3.99979288453647 0.0729407250550339
"cA2.09.48" 48 96 "2pi_I2" "Eg" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 1 0.292314388369467 0.00147639140323007 0.0620521770085929 4.3175699640508e-05 4.71078377039033 0.0238011463571691
"cA2.09.48" 48 96 "2pi_I2" "Eg" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 1 0.391310845634879 0.00319516877932763 0.0620521770085929 4.3175699640508e-05 6.30615821231688 0.0515969810806996
"cA2.09.48" 48 96 "3pi_I3" "A1u" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 4 0.192079791182384 0.00248201831123398 0.0620521770085929 4.3175699640508e-05 3.09545612164075 0.0397501907949028
"cA2.09.48" 48 96 "3pi_I3" "A1u" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 4 0.375248942302947 0.00792229329357713 0.0620521770085929 4.3175699640508e-05 6.04731309025601 0.127709576947034
"cA2.09.48" 48 96 "3pi_I3" "A2" 1 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 2 0.243137041829484 0.00435048974961918 0.0620521770085929 4.3175699640508e-05 3.91826771518128 0.0697726522563678
"cA2.09.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 2 0.271206620351157 0.00459256172434139 0.0620521770085929 4.3175699640508e-05 4.37062216710948 0.0739841262828921
