"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 1 0.0602064555926181 0.0602067696868481
"2" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 2 0.0602064555926181 0.0602043747892686
"3" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 3 0.0602064555926181 0.0602084974844366
"4" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 4 0.0602064555926181 0.0602058894730612
"5" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 5 0.0602064555926181 0.0602052932409495
"6" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 6 0.0602064555926181 0.0602059646894154
"7" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 7 0.0602064555926181 0.0602042996499127
"8" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 8 0.0602064555926181 0.0602031696896946
"9" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 9 0.0602064555926181 0.0602069870961676
"10" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 10 0.0602064555926181 0.060204600027939
"11" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 11 0.0602064555926181 0.0602036120372488
"12" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 12 0.0602064555926181 0.0602097346385152
"13" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 13 0.0602064555926181 0.0602078917426652
"14" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 14 0.0602064555926181 0.060208832766973
"15" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 15 0.0602064555926181 0.0602044319282108
"16" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 16 0.0602064555926181 0.0602028311235001
"17" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 17 0.0602064555926181 0.0602063315669912
"18" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 18 0.0602064555926181 0.0602067283977845
"19" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 19 0.0602064555926181 0.0602054735638938
"20" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 20 0.0602064555926181 0.0602058545407232
"21" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 21 0.0602064555926181 0.0602075054683714
"22" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 22 0.0602064555926181 0.0602060244728023
"23" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 23 0.0602064555926181 0.0602057445849868
"24" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 24 0.0602064555926181 0.060206796882203
"25" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 25 0.0602064555926181 0.0602074006685446
"26" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 26 0.0602064555926181 0.0602021501199003
"27" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 27 0.0602064555926181 0.060207659121936
"28" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 28 0.0602064555926181 0.0602078420120849
"29" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 29 0.0602064555926181 0.0602047564851056
"30" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 30 0.0602064555926181 0.0602072373084725
"31" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 31 0.0602064555926181 0.0602050016348322
"32" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 32 0.0602064555926181 0.0602073991614339
"33" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 33 0.0602064555926181 0.0602045659976021
"34" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 34 0.0602064555926181 0.0602020919746035
"35" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 35 0.0602064555926181 0.0602077405592946
"36" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 36 0.0602064555926181 0.0602049157071698
"37" "cA2.09.48" 20 40 48 96 1 3 "jackknife" 500 1 1 37 0.0602064555926181 0.0602083157761658
